airport,dep_time_blk,recommended_buffer_min,mean_alpha,pct_alpha_below_02,event_count,data_source
EUG,0700-0759,17.4,7.3912390564765325,0.446,415,cell
EUG,0800-0859,6.0,3.919085769980507,0.698,225,cell
EUG,0900-0959,15.8,6.6781198460692694,0.441,68,cell
EUG,1000-1059,16.2,6.935478260869565,0.196,46,cell
EUG,1100-1159,16.4,7.779849790493078,0.327,492,cell
EUG,1200-1259,15.8,8.562899451022648,0.373,359,cell
EUG,1300-1359,19.8,12.63397598550177,0.36,611,cell
EUG,1400-1459,26.6,15.181293800273565,0.189,233,cell
EUG,1500-1559,20.0,10.094292511048991,0.404,225,cell
EUG,1600-1659,37.6,18.230253969066794,0.288,219,cell
EUG,1700-1759,16.3,7.770202737422331,0.36,433,cell
EUG,1800-1859,18.6,11.592296915882073,0.408,331,cell
EUG,1900-1959,3.7,3.241783339415915,0.716,88,cell
EUG,2000-2059,6.9,5.287477688651856,0.714,14,cell
EUG,2100-2159,10.4,4.602886260955525,0.611,36,cell
EVV,0600-0659,15.0,6.817327713121866,0.54,341,cell
EVV,0700-0759,10.2,6.392689161554191,0.583,163,cell
EVV,0800-0859,13.8,7.434659908551471,0.504,3,airport_fallback
EVV,1100-1159,39.8,19.41090343269786,0.333,33,cell
EVV,1200-1259,15.4,10.473557692307692,0.156,32,cell
EVV,1300-1359,17.6,9.666472074158557,0.324,111,cell
EVV,1400-1459,13.8,7.434659908551471,0.504,2,airport_fallback
EVV,1500-1559,9.2,4.584798583983416,0.447,150,cell
EVV,1600-1659,9.3,2.630606060606061,0.633,30,cell
EVV,1700-1759,9.2,6.213661994323045,0.593,216,cell
EVV,1800-1859,16.0,7.115559421736748,0.5,48,cell
EVV,2000-2059,13.8,7.434659908551471,0.504,5,airport_fallback
EWN,0001-0559,16.7,8.212146892655367,0.458,59,cell
EWN,0600-0659,19.4,14.553191489361701,0.34,47,cell
EWN,0800-0859,17.0,8.316022648060672,0.373,1,airport_fallback
EWN,1100-1159,31.2,13.697956790123458,0.2,15,cell
EWN,1400-1459,19.2,8.369041349747665,0.2,40,cell
EWN,1700-1759,14.7,5.766047677989813,0.325,40,cell
EWN,1800-1859,11.0,3.267852747687804,0.528,53,cell
EWR,0001-0559,16.8,6.812046293347787,0.612,1872,cell
EWR,0600-0659,19.2,8.374813730675823,0.584,7034,cell
EWR,0700-0759,22.0,9.27397580472741,0.524,5307,cell
EWR,0800-0859,23.4,11.59173125372313,0.401,3430,cell
EWR,0900-0959,22.6,11.459819405546066,0.338,4441,cell
EWR,1000-1059,23.0,12.560265897439276,0.307,4986,cell
EWR,1100-1159,24.6,13.312379555681856,0.317,4690,cell
EWR,1200-1259,24.6,13.45327022834738,0.293,3361,cell
EWR,1300-1359,25.4,13.464359909367762,0.304,4539,cell
EWR,1400-1459,27.4,14.918244250730481,0.325,5049,cell
EWR,1500-1559,28.6,14.700188692826,0.341,4940,cell
EWR,1600-1659,28.0,13.690409964435617,0.369,5340,cell
EWR,1700-1759,25.8,12.359936253747088,0.384,3963,cell
EWR,1800-1859,24.4,11.764480137850446,0.437,4918,cell
EWR,1900-1959,22.2,10.06765134574763,0.487,4660,cell
EWR,2000-2059,23.6,11.29563153620357,0.479,3397,cell
EWR,2100-2159,20.4,9.048870864362272,0.532,3473,cell
EWR,2200-2259,16.2,6.217507976952366,0.591,1112,cell
EWR,2300-2359,17.6,5.8604651162790695,0.558,43,cell
EYW,0700-0759,18.8,7.363560334472895,0.465,286,cell
EYW,0800-0859,13.6,4.423264907135875,0.516,62,cell
EYW,0900-0959,20.8,7.854932141674943,0.434,53,cell
EYW,1000-1059,11.4,6.353987116071936,0.49,151,cell
EYW,1100-1159,14.7,6.683314627881934,0.404,604,cell
EYW,1200-1259,17.5,7.40514754851449,0.377,809,cell
EYW,1300-1359,15.2,8.437028040202756,0.432,738,cell
EYW,1400-1459,22.6,10.933127366165943,0.299,826,cell
EYW,1500-1559,16.4,7.575947197256598,0.349,579,cell
EYW,1600-1659,13.1,5.8698506726932385,0.465,499,cell
EYW,1700-1759,16.0,7.879244441292866,0.418,493,cell
EYW,1800-1859,10.9,3.882980614753977,0.541,399,cell
EYW,1900-1959,9.8,3.804200175444032,0.535,301,cell
EYW,2000-2059,16.4,7.3912444713575365,0.414,6,airport_fallback
EYW,2100-2159,16.4,7.3912444713575365,0.414,4,airport_fallback
FAI,0001-0559,26.2,11.001356507540306,0.416,550,cell
FAI,0600-0659,29.0,13.089922480620155,0.364,129,cell
FAI,0700-0759,9.8,2.5248756218905473,0.746,67,cell
FAI,0800-0859,20.8,8.582976144502398,0.449,6,airport_fallback
FAI,0900-0959,12.4,3.5535714285714284,0.589,56,cell
FAI,1000-1059,12.6,4.642585605322948,0.489,237,cell
FAI,1200-1259,11.8,4.608441180747419,0.475,299,cell
FAI,1300-1359,20.8,8.582976144502398,0.449,8,airport_fallback
FAI,1500-1559,64.6,30.37944047944048,0.0,30,cell
FAI,1600-1659,29.5,12.705882352941176,0.353,17,cell
FAI,1900-1959,20.8,8.582976144502398,0.449,4,airport_fallback
FAI,2000-2059,31.8,14.0125,0.188,16,cell
FAI,2100-2159,29.1,13.706214689265538,0.2,15,cell
FAI,2300-2359,13.0,5.368055555555556,0.604,96,cell
FAR,0001-0559,15.4,8.602312717135113,0.545,563,cell
FAR,0600-0659,18.5,8.678249330035044,0.446,294,cell
FAR,0700-0759,15.6,7.152390794291637,0.507,653,cell
FAR,0800-0859,16.2,8.761951639407975,0.45,3,airport_fallback
FAR,0900-0959,13.6,4.840909090909091,0.614,44,cell
FAR,1000-1059,19.0,12.370913962111475,0.418,237,cell
FAR,1100-1159,20.0,12.174574112198721,0.335,409,cell
FAR,1200-1259,15.4,6.788927671104383,0.4,432,cell
FAR,1300-1359,16.3,8.080653069896279,0.385,629,cell
FAR,1400-1459,12.4,6.09304000567129,0.551,276,cell
FAR,1500-1559,15.6,6.642182796633254,0.385,182,cell
FAR,1600-1659,17.2,12.30716979288537,0.432,581,cell
FAR,1700-1759,19.5,11.170174846751294,0.403,340,cell
FAR,1800-1859,13.7,4.895334645009218,0.56,100,cell
FAR,1900-1959,14.8,7.39704752570481,0.457,94,cell
FAR,2000-2059,6.5,1.6811537796229026,0.617,47,cell
FAR,2100-2159,9.6,3.3037431635769585,0.6,95,cell
FAR,2200-2259,25.9,8.999537037037037,0.333,18,cell
FAT,0001-0559,17.2,7.241686303991013,0.525,543,cell
FAT,0600-0659,17.6,7.468732747099309,0.461,1491,cell
FAT,0700-0759,13.8,5.650662696044803,0.56,582,cell
FAT,0800-0859,14.4,5.858762922558467,0.535,719,cell
FAT,0900-0959,15.2,7.863689330144601,0.442,398,cell
FAT,1000-1059,17.4,9.366254225447907,0.34,592,cell
FAT,1100-1159,16.8,8.258985105776652,0.429,441,cell
FAT,1200-1259,18.8,9.697109227492641,0.338,477,cell
FAT,1300-1359,16.4,12.714371512594965,0.441,372,cell
FAT,1400-1459,18.6,9.147569099182437,0.457,444,cell
FAT,1500-1559,20.2,9.033438541053377,0.37,276,cell
FAT,1600-1659,16.0,8.93190838901677,0.405,257,cell
FAT,1700-1759,12.8,6.210819829990155,0.488,209,cell
FAT,1800-1859,18.8,9.161133729074619,0.436,450,cell
FAT,1900-1959,12.8,8.585875788910814,0.521,501,cell
FAT,2000-2059,18.1,5.070774717654052,0.357,14,cell
FAT,2100-2159,11.4,3.6487271062271063,0.5,26,cell
FAT,2200-2259,21.0,9.621906198376786,0.446,65,cell
FAT,2300-2359,16.6,8.094289912186786,0.457,1,airport_fallback
FAY,0001-0559,8.6,2.233846153846154,0.6,25,cell
FAY,0600-0659,14.6,16.680555555555557,0.438,48,cell
FAY,0700-0759,12.4,6.68353775089658,0.441,1,airport_fallback
FAY,1000-1059,14.4,5.483870967741935,0.387,31,cell
FAY,1100-1159,13.4,4.594483779035273,0.456,79,cell
FAY,1400-1459,13.4,20.289839572192513,0.455,11,cell
FAY,1500-1559,12.4,6.68353775089658,0.441,7,airport_fallback
FAY,1600-1659,12.4,6.68353775089658,0.441,1,airport_fallback
FAY,1700-1759,12.4,6.68353775089658,0.441,9,airport_fallback
FAY,1900-1959,12.0,3.573916913712466,0.435,85,cell
FCA,0001-0559,14.6,8.811268472906404,0.472,290,cell
FCA,0600-0659,12.6,6.556327103776936,0.601,338,cell
FCA,0700-0759,13.2,4.4797990581592595,0.517,58,cell
FCA,0800-0859,10.9,4.041139240506329,0.734,79,cell
FCA,1000-1059,16.0,6.666848021063731,0.365,181,cell
